NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,0.75,306,IPCA dessazonalizado - Variação mensal,200406,junho 2004,1,Brasil
1,Brasil,2,%,0.93,306,IPCA dessazonalizado - Variação mensal,200407,julho 2004,1,Brasil
1,Brasil,2,%,0.72,306,IPCA dessazonalizado - Variação mensal,200408,agosto 2004,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,200409,setembro 2004,1,Brasil
1,Brasil,2,%,0.43,306,IPCA dessazonalizado - Variação mensal,200410,outubro 2004,1,Brasil
1,Brasil,2,%,0.67,306,IPCA dessazonalizado - Variação mensal,200411,novembro 2004,1,Brasil
1,Brasil,2,%,0.83,306,IPCA dessazonalizado - Variação mensal,200412,dezembro 2004,1,Brasil
1,Brasil,2,%,0.52,306,IPCA dessazonalizado - Variação mensal,200501,janeiro 2005,1,Brasil
1,Brasil,2,%,0.55,306,IPCA dessazonalizado - Variação mensal,200502,fevereiro 2005,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,200503,março 2005,1,Brasil
1,Brasil,2,%,0.86,306,IPCA dessazonalizado - Variação mensal,200504,abril 2005,1,Brasil
1,Brasil,2,%,0.49,306,IPCA dessazonalizado - Variação mensal,200505,maio 2005,1,Brasil
1,Brasil,2,%,0.05,306,IPCA dessazonalizado - Variação mensal,200506,junho 2005,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200507,julho 2005,1,Brasil
1,Brasil,2,%,0.18,306,IPCA dessazonalizado - Variação mensal,200508,agosto 2005,1,Brasil
1,Brasil,2,%,0.37,306,IPCA dessazonalizado - Variação mensal,200509,setembro 2005,1,Brasil
1,Brasil,2,%,0.75,306,IPCA dessazonalizado - Variação mensal,200510,outubro 2005,1,Brasil
1,Brasil,2,%,0.54,306,IPCA dessazonalizado - Variação mensal,200511,novembro 2005,1,Brasil
1,Brasil,2,%,0.36,306,IPCA dessazonalizado - Variação mensal,200512,dezembro 2005,1,Brasil
1,Brasil,2,%,0.59,306,IPCA dessazonalizado - Variação mensal,200601,janeiro 2006,1,Brasil
1,Brasil,2,%,0.36,306,IPCA dessazonalizado - Variação mensal,200602,fevereiro 2006,1,Brasil
1,Brasil,2,%,0.41,306,IPCA dessazonalizado - Variação mensal,200603,março 2006,1,Brasil
1,Brasil,2,%,0.20,306,IPCA dessazonalizado - Variação mensal,200604,abril 2006,1,Brasil
1,Brasil,2,%,0.09,306,IPCA dessazonalizado - Variação mensal,200605,maio 2006,1,Brasil
1,Brasil,2,%,-0.18,306,IPCA dessazonalizado - Variação mensal,200606,junho 2006,1,Brasil
1,Brasil,2,%,0.23,306,IPCA dessazonalizado - Variação mensal,200607,julho 2006,1,Brasil
1,Brasil,2,%,0.07,306,IPCA dessazonalizado - Variação mensal,200608,agosto 2006,1,Brasil
1,Brasil,2,%,0.23,306,IPCA dessazonalizado - Variação mensal,200609,setembro 2006,1,Brasil
1,Brasil,2,%,0.37,306,IPCA dessazonalizado - Variação mensal,200610,outubro 2006,1,Brasil
